smiles,IC50(nm)
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,4800
Cc1cc2c3c(c1)c(C1=C(c4cnc5ccccn45)C(=O)NC1=O)cn3CCN(C(=O)N1CCCCC1)C2,18000
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,1700
CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,1500
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,1800
COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(C)C)CC2)nc2[nH]nc(N3CCOC[C@H]3C)c12,20000
COc1ccc(F)cc1-c1n[nH]c2nc(N[C@H]3CC[C@H](NS(C)(=O)=O)CC3)ncc12,199
CCN1CCN(Cc2ccc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)nc2)CC1,3.1
CCN1CCN(Cc2ccc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ccn3)nc2)CC1,2.9
CCN1CCN(Cc2cnc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)cn2)CC1,1.5
CCN1CCN(Cc2cnc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ccn3)cn2)CC1,2.1
CCN1CCN(Cc2cnc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)c(F)cn3)cn2)CC1,1.6
CCN1CCN(Cc2ccc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ccn3)nn2)CC1,5.2
CCN1CCN(Cc2ccc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)nn2)CC1,13.8
CCN1CCN(Cc2cnc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)nc2)CC1,35.9
CCN1CCN(Cc2ccc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)c(F)cn3)nn2)CC1,12.1
CCN1CCN(Cc2ncc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)cn2)CC1,5156
CCN1CCN(Cc2cnc(Nc3ncnc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)c3F)cn2)CC1,283.4
Cc1nc2c(F)cc(-c3cc(Nc4cnc(CN5CCN(C(C)C)CC5)cn4)ncn3)cc2n1C(C)C,1.6
Cc1nc2c(F)cc(-c3cc(Nc4cnc(CN5CCN(CC(F)(F)F)CC5)cn4)ncn3)cc2n1C(C)C,5.6
COCCN1CCN(Cc2cnc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)cn2)CC1,3.7
Cc1nc2c(F)cc(-c3cc(Nc4cnc(CN5CCN(CC6CC6)CC5)cn4)ncn3)cc2n1C(C)C,2.9
Cc1nc2c(F)cc(-c3cc(Nc4cnc(CN5CCN(C6CCCC6)CC5)cn4)ncn3)cc2n1C(C)C,2.2
CCN1CCC(Cc2cnc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)cn2)CC1,2.4
CCN1CCC(C(C)c2cnc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)cn2)CC1,18.3
CCN1CCC(Oc2cnc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)cn2)CC1,8.8
C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,25000
CCNC(=O)Nc1nc2nc(NCCCCN(CC)CC)ncc2cc1-c1c(Cl)cccc1Cl,40000
CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,40000
CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)Nc3ccccc3)nc2n1,40000
CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC(C)(C)C)nc3n2)CC1,40000
